Date,HSI,000001
2010/1/4,21823.2793,3243.76001
2010/1/5,22279.58008,3282.178955
2010/1/6,22416.66992,3254.215088
2010/1/7,22269.44922,3192.775879
2010/1/8,22296.75,3195.99707
2010/1/11,22411.51953,3212.75
2010/1/12,22326.64063,3273.966064
2010/1/13,21748.59961,3172.657959
2010/1/14,21716.94922,3215.550049
2010/1/15,21654.16016,3224.1521
2010/1/18,21460.00977,3237.0979
2010/1/19,21677.98047,3246.874023
2010/1/20,21286.16992,3151.850098
2010/1/21,20862.66992,3158.863037
2010/1/22,20726.17969,3128.587891
2010/1/25,20598.55078,3094.410889
2010/1/26,20109.33008,3019.394043
2010/1/27,20033.07031,2986.606934
2010/1/28,20356.36914,2994.143066
2010/1/29,20121.99023,2989.291992
2010/2/1,20243.75,2941.360107
2010/2/2,20272.17969,2934.712891
2010/2/3,20722.08008,3003.834961
2010/2/4,20341.64063,2995.308105
2010/2/5,19665.08008,2939.4021
2010/2/8,19550.89063,2935.174072
2010/2/9,19790.2793,2948.842041
2010/2/10,19922.2207,2982.5
2010/2/11,20290.68945,2985.499023
2010/2/12,20268.68945,3018.133057
2010/2/22,20377.26953,3003.397949
2010/2/23,20623,2982.574951
2010/2/24,20467.74023,3022.177002
2010/2/25,20399.57031,3060.61792
2010/2/26,20608.69922,3051.943115
2010/3/1,21056.92969,3087.842041
2010/3/2,20906.10938,3073.10791
2010/3/3,20876.78906,3097.004883
2010/3/4,20575.7793,3023.373047
2010/3/5,20787.9707,3031.064941
2010/3/8,21196.86914,3053.231934
2010/3/9,21207.55078,3069.141113
2010/3/10,21208.28906,3048.927002
2010/3/11,21228.19922,3051.281982
2010/3/12,21209.74023,3013.412109
2010/3/15,21079.09961,2976.938965
2010/3/16,21022.92969,2992.841064
2010/3/17,21384.49023,3050.479004
2010/3/18,21330.66992,3046.089111
2010/3/19,21370.82031,3067.75
2010/3/22,20933.25,3074.575928
2010/3/23,20987.7793,3053.125
2010/3/24,21008.61914,3056.808105
2010/3/25,20778.55078,3019.176025
2010/3/26,21053.10938,3059.715088
2010/3/29,21237.42969,3123.798096
2010/3/30,21374.78906,3128.468018
2010/3/31,21239.34961,3109.10498
2010/4/1,21537,3147.416016
2010/4/7,21928.76953,3148.221924
2010/4/8,21867.03906,3118.708984
2010/4/9,22208.5,3145.346924
2010/4/12,22138.16992,3129.262939
2010/4/13,22103.5293,3161.250977
2010/4/14,22121.42969,3166.183105
2010/4/15,22157.82031,3164.966064
2010/4/16,21865.25977,3130.302002
2010/4/19,21405.16992,2980.297119
2010/4/20,21623.38086,2979.532959
2010/4/21,21510.92969,3033.278076
2010/4/22,21454.93945,2999.483887
2010/4/23,21244.49023,2983.537109
2010/4/26,21587.06055,2969.50293
2010/4/27,21261.78906,2907.927979
2010/4/28,20949.40039,2900.331055
2010/4/29,20778.91992,2868.431885
2010/4/30,21108.58984,2870.611084
2010/5/4,20763.05078,2835.2771
2010/5/5,20327.53906,2857.150879
2010/5/6,20133.41016,2739.701904
2010/5/7,19920.28906,2688.383057
2010/5/10,20426.64063,2698.75708
2010/5/11,20146.50977,2647.572998
2010/5/12,20212.49023,2655.714111
2010/5/13,20422.46094,2710.50708
2010/5/14,20145.42969,2696.628906
2010/5/17,19715.19922,2559.930908
2010/5/18,19944.93945,2594.782959
2010/5/19,19578.98047,2587.806885
2010/5/20,19545.83008,2555.939941
2010/5/24,19667.75977,2673.423096
2010/5/25,18985.5,2622.629883
2010/5/26,19196.44922,2625.792969
2010/5/27,19431.36914,2655.917969
2010/5/28,19766.71094,2655.76709
2010/5/31,19765.18945,2592.145996
2010/6/1,19496.94922,2568.282959
2010/6/2,19471.80078,2571.423096
2010/6/3,19786.71094,2552.656006
2010/6/4,19780.07031,2553.593018
2010/6/7,19378.15039,2511.729004
2010/6/8,19487.48047,2513.947021
2010/6/9,19621.24023,2583.870117
2010/6/10,19632.69922,2562.580078
2010/6/11,19872.38086,2569.940918
2010/6/17,20138.40039,2560.245117
2010/6/18,20286.71094,2513.221924
2010/6/21,20912.17969,2586.208984
2010/6/22,20819.08008,2588.697998
2010/6/23,20856.60938,2569.87207
2010/6/24,20733.49023,2566.745117
2010/6/25,20690.78906,2552.816895
2010/6/28,20726.67969,2535.278076
2010/6/29,20248.90039,2427.052002
2010/6/30,20128.99023,2398.370117
2010/7/2,19905.32031,2382.900879
2010/7/5,19842.19922,2363.947998
2010/7/6,20084.11914,2409.424072
2010/7/7,19857.07031,2421.116943
2010/7/8,20050.56055,2415.149902
2010/7/9,20378.66016,2470.923096
2010/7/12,20467.42969,2490.718018
2010/7/13,20431.06055,2450.284912
2010/7/14,20560.81055,2470.439941
2010/7/15,20255.61914,2424.303955
2010/7/16,20250.16016,2424.270996
2010/7/19,20090.94922,2475.420898
2010/7/20,20264.58984,2528.729004
2010/7/21,20487.23047,2535.394043
2010/7/22,20589.69922,2562.406006
2010/7/23,20815.33008,2572.028076
2010/7/26,20839.91016,2588.683105
2010/7/27,20973.39063,2575.36792
2010/7/28,21091.17969,2633.663086
2010/7/29,21093.82031,2648.115967
2010/7/30,21029.81055,2637.50293
2010/8/2,21412.78906,2672.516113
2010/8/3,21457.66016,2627.001953
2010/8/4,21549.88086,2638.521973
2010/8/5,21551.7207,2620.75708
2010/8/6,21678.80078,2658.39209
2010/8/9,21801.58984,2672.531982
2010/8/10,21473.59961,2595.272949
2010/8/11,21294.53906,2607.49707
2010/8/12,21105.71094,2575.475098
2010/8/13,21071.57031,2606.699951
2010/8/16,21112.11914,2661.708008
2010/8/17,21137.42969,2671.893066
2010/8/18,21022.73047,2666.301025
2010/8/19,21072.46094,2687.979004
2010/8/20,20981.82031,2642.306885
2010/8/23,20889.00977,2639.365967
2010/8/24,20658.71094,2650.306885
2010/8/25,20634.98047,2596.580078
2010/8/26,20612.06055,2603.480957
2010/8/27,20597.34961,2610.741943
2010/8/30,20737.2207,2652.664063
2010/8/31,20536.49023,2638.798096
2010/9/1,20623.83008,2622.88208
2010/9/2,20868.91992,2655.775879
2010/9/3,20971.5,2655.394043
2010/9/6,21355.76953,2696.25
2010/9/7,21401.78906,2698.363037
2010/9/8,21088.85938,2695.291016
2010/9/9,21167.26953,2656.352051
2010/9/10,21257.39063,2663.208984
2010/9/13,21658.34961,2688.320068
2010/9/14,21696.03906,2688.521973
2010/9/15,21725.64063,2652.50293
2010/9/16,21691.44922,2602.465088
2010/9/17,21970.85938,2598.688965
2010/9/20,21977.33984,2588.712891
2010/9/21,22002.58984,2591.550049
2010/9/27,22340.83984,2627.967041
2010/9/28,22109.94922,2611.354004
2010/9/29,22378.66992,2610.677979
2010/9/30,22358.16992,2655.657959
2010/10/8,22944.17969,2738.743896
2010/10/11,23207.31055,2806.941895
2010/10/12,23121.69922,2841.406982
2010/10/13,23457.68945,2861.361084
2010/10/14,23852.16992,2879.635986
2010/10/15,23757.63086,2971.159912
2010/10/18,23469.38086,2955.227051
2010/10/19,23763.73047,3001.853027
2010/10/20,23556.5,3003.950928
2010/10/21,23649.48047,2983.531982
2010/10/22,23517.53906,2975.042969
2010/10/25,23627.91016,3051.417969
2010/10/26,23601.24023,3041.542969
2010/10/27,23164.58008,2997.048096
2010/10/28,23210.85938,2992.579102
2010/10/29,23096.32031,2978.834961
2010/11/1,23652.93945,3054.020996
2010/11/2,23671.41992,3045.434082
2010/11/3,24144.66992,3030.988037
2010/11/4,24535.63086,3086.938965
2010/11/5,24876.82031,3129.49707
2010/11/8,24964.36914,3159.511963
2010/11/9,24710.59961,3135
2010/11/10,24500.60938,3115.355957
2010/11/11,24700.30078,3147.743896
2010/11/12,24222.58008,2985.435059
2010/11/15,24027.17969,3014.413086
2010/11/16,23693.01953,2894.538086
2010/11/17,23214.46094,2838.856934
2010/11/18,23637.39063,2865.451904
